condition,question,participant_1,participant_2,participant_3,participant_4,participant_5,participant_6,participant_7,participant_8,participant_9,participant_10,participant_11,participant_12,participant_13,participant_14,participant_15,participant_16,participant_17,participant_18,participant_19,participant_20,participant_21,participant_22,participant_23,participant_24,participant_25,participant_26,participant_27,participant_28,participant_29,participant_30,participant_31,participant_32,participant_33,participant_34,participant_35,participant_36,participant_37,participant_38,participant_39,participant_40,participant_41,participant_42,participant_43,participant_44,participant_45,participant_46,participant_47,participant_48,participant_49,participant_50,participant_51,participant_52,participant_53,participant_54,participant_55,participant_56,participant_57,participant_58,participant_59,participant_60,participant_61,participant_62,participant_63,participant_64,participant_65,participant_66,participant_67,participant_68,participant_69,participant_70,participant_71,participant_72,participant_73,participant_74,participant_75,participant_76,participant_77,participant_78,participant_79,participant_80,participant_81,participant_82,participant_83,participant_84,participant_85,participant_86,participant_87,participant_88,participant_89,participant_90,participant_91,participant_92,participant_93,participant_94,participant_95,participant_96,participant_97,participant_98,participant_99,participant_100,participant_101,participant_102,participant_103,participant_104,participant_105,participant_106,participant_107,participant_108,participant_109,participant_110,participant_111,participant_112,participant_113,participant_114,participant_115,participant_116,participant_117,participant_118,participant_119,participant_120,participant_121,participant_122,participant_123,participant_124,participant_125,participant_126,participant_127,participant_128,participant_129,participant_130,participant_131,participant_132,participant_133,participant_134,participant_135,participant_136,participant_137,participant_138,participant_139,participant_140,participant_141,participant_142,participant_143,participant_144,participant_145,participant_146,participant_147,participant_148,participant_149,participant_150,participant_151,participant_152,participant_153,participant_154,participant_155,participant_156,participant_157,participant_158,participant_159,participant_160,participant_161,participant_162,participant_163,participant_164,participant_165,participant_166,participant_167,participant_168,participant_169,participant_170,participant_171,participant_172,participant_173
F,Der Junge wurde vor benotet und bewertet.,,,,,4,,,,1,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,2,,,,1,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
F,Am Strand liegen viele Urlauber in der Sonne.,,,,,6,,,,7,,,,,,,,,7,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,2,,,7,,,,,,,7,,,,,,,,,7,,,,,,,,,,,,7,,,,7,,,,,,,,,,,7,,,7,,,,,,,,,,,,,,,,,,,,5,,,,,6,,6,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,
F,Am Strand liegen viele Urlauber in der Sonne.,,,,,5,,,,7,,,,,,,,,6,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,1,,,7,,,,,,,7,,,,,,,,,7,,,,,,,,,,,,7,,,,3,,,,,,,,,,,7,,,7,,,,,,,,,,,,,,,,,,,,5,,,,,6,,6,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,
F,Wie hat die Polizei welchen Fall gelöst?,,,,,4,,,,6,,,,,,,,,7,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,6,,,7,,,,,,,7,,,,,,,,,7,,,,,,,,,,,,7,,,,1,,,,,,,,,,,4,,,7,,,,,,,,,,,,,,,,,,,,6,,,,,3,,3,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,
F,"Im Wald glaubt sie, hat der Jäger den Förster gesehen.",,,,,7,,,,7,,,,,,,,,6,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,4,,,1,,,,,,,7,,,,,,,,,5,,,,,,,,,,,,4,,,,5,,,,,,,,,,,5,,,7,,,,,,,,,,,,,,,,,,,,4,,,,,3,,4,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
F,Bei dem Volleyballspiel die Mannschaft spielt fehlerfrei und harmonisch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,1,2,,,,,,,,,,,2,,,,,,1,,,
F,Der Stift wurde aus angespitzt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,4,,,,,,1,,,
F,Der Kontrolleur hat den lauten und unfreundlichen Mitfahrer ermahnt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,7,,,,,,,,,,,,,7,6,,,,,,,,,,,6,,,,,,7,,,
F,Die Lehrerin hat dem Schüler Nachhilfeunterricht geraten.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,3,,,,,,,,,,,,,1,6,,,,,,,,,,,3,,,,,,5,,,
F,Ihr habt dem Schauspieler sich selbst auf dem Foto gezeigt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,1,5,,,,,,,,,,,4,,,,,,4,,,
F,Die Führungskräfte haben einander sie als talentierten und hilfreichen Coach empfohlen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,4,4,,,,,,,,,,,4,,,,,,1,,,
F,Die Katze wurde unter gestreichelt und gekrault.,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,1,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,
F,Der Polizist hat den komplizierten Fall endlich gelöst.,,,,,,,,,,,,7,,,,,,,,,,,7,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,7,,7,,,,6,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,7,,,,7,,,,,,,,7,,,,,,,7,,,7,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,4,7,,,,,,,,,,,
F,"Er weiß, der Mann hat das neue und teure Handy geklaut.",,,,,,,,,,,,1,,,,,,,,,,,5,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,2,,6,,,,7,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,7,,,,7,,,,,,,,5,,,,,,,3,,,5,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,4,5,,,,,,,,,,,
F,"In Bayern meinte sie, haben die Lehrer die Schüler mehr unter Kontrolle.",,,,,,,,,,,,2,,,,,,,,,,,6,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,4,,6,,,,6,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,7,,,,7,,,,,,,,4,,,,,,,5,,,4,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,4,3,,,,,,,,,,,
F,"Ihr fahrt gerne in die Berge, obwohl ihr wohnt sehr nahe am Meer.",,,,,,,,,,,,1,,,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,1,,,,,,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,1,1,,,,,,,,,,,
F,Da gelacht rüber hat der Moderator natürlich nicht.,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,
H 1.1,Die Einfach- und Klarheit der Lösung erstaunte alle.,,,,,,,,,,3,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,2,,,,2,,,,,,,,,,,3,,,,,,,,,4,,2,,,,,,,,,1,,,,,,,2,5,,,,,,,,,,,,,,,,,,,,,,7,,,7,,,,,,7,,,,,,,,,,,,,1,,,,,,,,,,
H 1.1,Die Einfach- und Klarheit der Lösung erstaunte alle.,,,,,,,,,,,,,,,,3,2,,,,,,,,,,7,,,,,,2,,,,,,,,,,,,,,,,,,,5,,,,7,,,,,7,,,3,,1,,,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,3,,,,,,,1,4,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,5,,,,,,,,1,,,,,,6,4,,,,,,,
H 1.2,Ihr Auftreten strahlt Gewiss- und Sicherheit aus.,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,6,,,,6,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,4
H 1.2,Ihr Auftreten strahlt Gewiss- und Sicherheit aus.,,,,,,,,,,,,4,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,4,,4,,,,1,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,2,,,,5,,,,,,,,1,,,,,,,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,3,,,,,,,,,,,
H 1.3,Der Diamant ist von seltener Schön- und Reinheit.,,,,,,,,,,,,,,6,,,,,,7,,,,,,,,,,,,,,,,,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,7,,,,,,,,,,6,,,,,,6,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
H 1.3,Der Diamant ist von seltener Schön- und Reinheit.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,1,,,,,,,,,,,,,6,3,,,,,,,,,,,6,,,,,,3,,,
H 1.4,Der Anwalt setzt sich für die Gleich- und Freiheit aller Menschen ein.,,,,,2,,,,3,,,,,,,,,5,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,7,,,1,,,,,,,3,,,,,,,,,3,,,,,,,,,,,,1,,,,3,,,,,,,,,,,4,,,2,,,,,,,,,,,,,,,,,,,,3,,,,,5,,3,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
H 1.5,Das ist die Verrückt- und Besonderheit ihrer Herangehensweise.,,,,3,,1,,,,,5,,,,,,,,,,3,3,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,6,,,,,,,,2,,,,,,,,,,,,,,5,7,3,,2,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,,,,2,,6,,,,,,,,,,5,,,,,,,,,,,,2,4,,,,,
H 1.5,Das ist die Verrückt- und Besonderheit ihrer Herangehensweise.,3,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,2,,,,6,5,,,,6,,,,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,5,,,,5,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,4,,,,
H 1.6,Die Echt- und Nettheit seiner Reaktion hat allen gefallen.,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,1,,,,,,,,,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,7,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,3,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H 1.7,Allen war die Dumm- und Feigheit ihrer Entscheidung klar.,,,7,,,,6,,,,,,,,6,,,,,,,,,,,,,,,,,,,6,,,,,,,,5,,,,,,,5,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,
H 1.8,Viele streben innere Gelassen- und Zufriedenheit an.,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,4,,,,,,4,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,7,,,,,,,6,,,,,,,,,,,,,,,6,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
H 1'.1,Die Klar- und Einfachheit der Lösung erstaunte alle.,,,,4,,3,,,,,6,,6,,,,,,,,5,3,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,1,,,,,,,,6,,,,,,,,,,,,,,6,7,7,,1,,,,,,,,,,,,,,,,,5,,,,,3,,,,,,,,,,,,,,,,,,,,,,5,7,,,,,,,,,,2,,6,,,,,,,,,,2,,,,,,,,,,,,7,7,,,,,
H 1'.1,Die Klar- und Einfachheit der Lösung erstaunte alle.,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,4,,,,,,2,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,7,,,,,,,6,,,,,,,,,,,,,,,7,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
H 1'.2,Ihr Auftreten strahlt Sicher- und Gewissheit aus.,,,,,,,,,,3,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,3,,,,,,,,,,,5,,,,,,,,,1,,6,,,,,,,,,1,,,,,,,6,5,,,,,,,,,,,,,,,,,,,,,,7,,,4,,,,,,7,,,,,,,,,,,,,3,,,,,,,,,,
H 1'.2,Ihr Auftreten strahlt Sicher- und Gewissheit aus.,,,,,,,,,,,,,,,,1,2,,,,,,,,,,3,,,,,,3,,,,,,,,,,,,,,,,,,,4,,,,7,,,,,4,,,3,,6,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,1,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,6,,,,,,,,1,,,,,,6,4,,,,,,,
H 1'.3,Der Diamant ist von seltener Rein- und Schönheit.,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,6,,,,7,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,6
H 1'.3,Der Diamant ist von seltener Rein- und Schönheit.,,,,,,,,,,,,7,,,,,,,,,,,3,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,3,,6,,,,1,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,3,,,,6,,,,,,,,3,,,,,,,6,,,7,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,3,7,,,,,,,,,,,
H 1'.4,Der Anwalt setzt sich für die Frei- und Gleichheit aller Menschen ein.,,,,,,,,,,,,,,5,,,,,,6,,,,,,,,,,,,,,,,,5,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,6,,,,,,6,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
H 1'.4,Der Anwalt setzt sich für die Frei- und Gleichheit aller Menschen ein.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,6,4,,,,,,,,,,,6,,,,,,3,,,
H 1'.5,Das ist die Besonder- und Verrücktheit ihrer Herangehensweise.,,,,,2,,,,4,,,,,,,,,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,,,,6,,,,,,,,,6,,,,,,,,,,,,2,,,,1,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,5,,3,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
H 1'.6,Die Nett- und Echtheit seiner Reaktion hat allen gefallen.,5,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,5,,,,7,5,,,,7,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,3,,,,5,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,6,,,,
H 1'.7,Allen war die Feig- und Dummheit ihrer Entscheidung klar.,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,3,,,,,,,,,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,7,,,,,,,1,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,6,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H 1'.8,Viele streben innere Zufrieden- und Gelassenheit an.,,,5,,,,7,,,,,,,,7,,,,,,,,,,,,,,,,,,,7,,,,,,,,5,,,,,,,6,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,1,,,,,,,,,,,,,,,,
H 4.1,Sie strahlen Vergangen- und Erhabenheit aus.,,,3,,,,6,,,,,,,,6,,,,,,,,,,,,,,,,,,,1,,,,,,,,5,,,,,,,6,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,3,,,,,,,,,,,,,,,,
H 4.1,Sie strahlen Vergangen- und Erhabenheit aus.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,6,2,,,,,,,,,,,6,,,,,,2,,,
H 4.2,Das Hotel bietet Gelegen- und Abgeschiedenheit zum Entspannen.,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,4,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,5,,,,,,,,,,,,,,,3,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
H 4.4,Die Gesamt- und Allgemeinheit der Regeln spricht dafür.,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,3,,,,,,,,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,3,,,,,,,5,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,7,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H 4.2,Das Hotel bietet Gelegen- und Abgeschiedenheit zum Entspannen.,,,,,6,,,,1,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,6,,,1,,,,,,,1,,,,,,,,,3,,,,,,,,,,,,1,,,,1,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,5,,4,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
H 4.3,Die Tat wurde mit Trunken- und Verlogenheit begangen.,,,,,,,,,,,,,,,,3,4,,,,,,,,,,5,,,,,,5,,,,,,,,,,,,,,,,,,,4,,,,7,,,,,2,,,4,,6,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,,,1,5,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,,,,,1,,,,,,2,4,,,,,,,
H 4.3,Die Tat wurde mit Trunken- und Verlogenheit begangen.,5,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,2,,,,1,5,,,,2,,,,5,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,4,,,,4,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,1,,,,7,,,,,,,,,5,,,,
H 4.4,Die Gesamt- und Allgemeinheit der Regeln spricht dafür.,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,5,,,,7,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,7
H 4.5,"Er glaubt, dass die Staatsanwälte zu viel Befangen- und Verschwiegenheit an den Tag legen.",,,,,,,,,,,,,,6,,,,,,6,,,,,,,,,,,,,,,,,5,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,2,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,5,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
H 4.6,Eigenschaften wie Lüstern- und Verderbtheit sind absolut unpassend.,,,,2,,5,,,,,7,,3,,,,,,,,6,4,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,6,,,,,,,,4,,,,,,,,,,,,,,3,7,6,,5,,,,,,,,,,,,,,,,,6,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,,,,4,,3,,,,,,,,,,7,,,,,,,,,,,,6,3,,,,,
H 4.7,Der Richter vermittelt mit Besonnen- und Rechtschaffenheit.,,,,,,,,,,3,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,4,,,,7,,,,,,,,,,,6,,,,,,,,,1,,3,,,,,,,,,2,,,,,,,6,5,,,,,,,,,,,,,,,,,,,,,,7,,,7,,,,,,2,,,,,,,,,,,,,6,,,,,,,,,,
H 4.8,Eine Ausbildung in Frankreich steht für Gewandt- und Kultiviertheit.,,,,,,,,,,,,7,,,,,,,,,,,4,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,3,,5,,,,2,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,5,,,,,,,,1,,,,,,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,3,6,,,,,,,,,,,
H 4'.1,Sie strahlen Erhaben- und Vergangenheit aus.,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,4,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,7,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H 4'.1,Sie strahlen Erhaben- und Vergangenheit aus.,,,,,,,,,,,,3,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,,,2,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,3,,,,1,,,,,,,,1,,,,,,,5,,,3,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,3,5,,,,,,,,,,,
H 4'.2,Das Hotel bietet Abgeschieden- und Gelegenheit zum Entspannen.,,,2,,,,2,,,,,,,,4,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,1,,,,,,,,,,,,,,,,
H 4'.2,Das Hotel bietet Abgeschieden- und Gelegenheit zum Entspannen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,3,1,,,,,,,,,,,6,,,,,,1,,,
H 4'.3,Die Tat wurde mit Verlogen- und Trunkenheit begangen.,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,,,,,,3,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,4,,,,,,,5,,,,,,,,,,,,,,,4,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
H 4'.3,Die Tat wurde mit Verlogen- und Trunkenheit begangen.,,,,,1,,,,3,,,,,,,,,4,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,4,,,1,,,,,,,6,,,,,,,,,6,,,,,,,,,,,,3,,,,2,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,5,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
